"id","woonplaats","gemeente","provincie","latitude","longitude"
1,"Amsterdam","Amsterdam","Noord-Holland",52.3362429,4.8694444
89,"Amsterdam-Zuidoost","Amsterdam","Noord-Holland",52.3768632,4.8200283
99,"Diemen","Diemen","Noord-Holland",52.3331508,4.9551377
103,"Duivendrecht","Ouder-Amstel","Noord-Holland",52.332886,4.9412022
104,"Schiphol","Haarlemmermeer","Noord-Holland",52.3052778,4.7992528
105,"Luchthaven Schiphol","Haarlemmermeer","Noord-Holland",52.3105386,4.7682744
106,"Schiphol-Rijk","Haarlemmermeer","Noord-Holland",52.279722,4.753889
107,"Landsmeer","Landsmeer","Noord-Holland",52.4324284,4.9150708
109,"Den Ilp","Landsmeer","Noord-Holland",52.454533,4.9073219
110,"Volendam","Edam-Volendam","Noord-Holland",52.5180914,5.0024565
113,"Edam","Edam-Volendam","Noord-Holland",52.5126367,5.0491819
114,"Monnickendam","Waterland","Noord-Holland",52.4650634,4.954089
116,"Katwoude","Waterland","Noord-Holland",52.4694862,5.0471278
117,"Broek in Waterland","Waterland","Noord-Holland",52.4144806,5.0219082
119,"Zuiderwoude","Waterland","Noord-Holland",52.4321039,5.033652
120,"Uitdam","Waterland","Noord-Holland",52.4210268,5.0724962
121,"Marken","Waterland","Noord-Holland",52.4589926,5.1032057
122,"Zwanenburg","Haarlemmermeer","Noord-Holland",52.0370724,5.0887879
124,"Halfweg","Haarlemmermeer","Noord-Holland",52.3819918,4.7538293
125,"Badhoevedorp","Haarlemmermeer","Noord-Holland",52.337248,4.7798711
127,"Lijnden","Haarlemmermeer","Noord-Holland",52.3538766,4.7544953
128,"Amstelveen","Amstelveen","Noord-Holland",52.3020525,4.8448473
138,"Ouderkerk aan de Amstel","Ouder-Amstel","Noord-Holland",52.2954563,4.9023305
140,"Hilversum","Hilversum","Noord-Holland",52.2292024,5.1693338
154,"Loosdrecht","Wijdemeren","Noord-Holland",52.20618,5.06697
156,"Kortenhoef","Wijdemeren","Noord-Holland",52.2397632,5.1132094
158,"'s-Graveland","Wijdemeren","Noord-Holland",52.244167,5.121111
159,"Ankeveen","Wijdemeren","Noord-Holland",52.2642195,5.098253
160,"Laren","Laren","Noord-Holland",52.255712,5.2293702
163,"Blaricum","Blaricum","Noord-Holland",52.2857057,5.2697832
165,"Huizen","Huizen","Noord-Holland",52.2974955,5.2351132
173,"Almere","Almere","Flevoland",52.3481373,5.2474067
221,"Weesp","Amsterdam","Noord-Holland",52.3066153,5.0432534
225,"Abcoude","De Ronde Venen","Utrecht",52.2694313,4.9735943
227,"Nigtevecht","Stichtse Vecht","Utrecht",52.2738533,5.0285536
228,"Nederhorst den Berg","Wijdemeren","Noord-Holland",52.2601767,5.0449932
229,"Baambrugge","De Ronde Venen","Utrecht",52.2462306,4.9886094
230,"Muiden","Gooise Meren","Noord-Holland",52.3286972,5.0683449
231,"Muiderberg","Gooise Meren","Noord-Holland",52.3263049,5.1165375
232,"Bussum","Gooise Meren","Noord-Holland",52.27475,5.1679387
